"Month","My tribe","I can rely on my colleagues’ skills and abilities","I feel I can honestly discuss my tasks, even negative feelings and frustration","I get support from my supervisor when I need it","I get support from my colleagues when I need it","I think there is enough visibility and information about what is going on in the company","I think that we share enough practices between projects and tribes","I have challenged myself (tried new things, learned new things, shared my knowledge etc.) recently","I feel that Futurice is improving as a great place to work","I feel that my workload is in balance","I think that my current project/work tasks are interesting","I am proud of being a Futuricean","I am being fairly rewarded for my work","I get enough feedback about my work","I feel like I can influence things at work to improve things around me","I feel like I'm very good at my job","I feel that I have possibilities to improve my professional skills in my work","We have a strong sense of togetherness at Futurice","We have a strong sense of togetherness in my tribe","I see interesting career development possibilities ahead of me at Futurice","I enjoy working at Futurice","I would recommend Futurice as an employer if my friend would ask","I see no reason to look for another job at the moment"
December,Inna,4,3,4,4,3,3,4,3,4,3,4,3,3,4,3,4,3,3,3,4,4,4
December,Avalon,3,4,4,4,3,3,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4
December,Avalon,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4
December,Vesa,4,4,4,4,2,1,2,1,3,2,2,1,3,4,4,2,2,3,2,2,1,1
December,Vesa,4,4,4,4,2,1,4,2,3,4,4,1,3,4,3,4,3,2,3,4,2,2
December,London,3,4,3,3,2,1,3,1,2,3,3,1,2,3,2,3,3,3,2,3,3,1
December,Berlin,4,3,4,4,3,3,3,3,3,3,3,2,2,3,3,3,2,4,3,3,3,3
December,South Side,4,4,3,4,2,2,3,2,3,3,3,2,2,3,3,4,3,2,3,3,1,1
December,Avalon,4,3,4,3,2,1,4,1,4,2,3,2,2,1,3,4,1,3,1,3,3,1
December,Berlin,3,,3,3,3,2,3,3,3,3,3,2,2,3,2,4,3,2,3,3,3,3
December,Avalon,,,,,,,,,,,,,,,4,,,,4,4,,4
December,Inna,4,4,4,4,4,4,3,3,3,4,,4,4,4,4,3,4,4,3,4,4,4
December,South Side,4,4,3,3,3,2,3,3,3,3,4,2,3,3,3,3,4,3,3,3,4,2
December,Berlin,4,4,4,4,4,3,3,2,3,4,4,2,3,3,4,4,3,4,1,4,3,2
December,Tribe Four,4,4,,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,1,2,3,1
December,Avalon,4,3,3,3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,2,3,3,2
December,Tammerforce,4,4,4,4,3,2,3,2,3,3,3,3,2,3,4,4,2,4,3,4,4,4
December,Avalon,3,2,2,3,1,2,3,2,3,2,3,2,1,2,3,2,2,3,2,2,3,1
December,Berlin,4,4,4,3,3,3,4,2,2,4,4,1,3,4,4,3,3,3,2,3,4,2
December,South Side,3,4,,3,4,2,4,3,4,4,4,2,4,4,4,4,4,3,4,4,3,3
December,London,3,3,3,3,4,4,3,3,3,2,3,1,2,3,3,2,3,3,3,3,3,2
December,Tammerforce,4,4,4,4,3,3,3,2,3,3,4,4,3,3,3,4,2,4,3,3,4,2
December,Avalon,4,4,3,4,,2,3,4,4,4,4,4,3,3,3,4,3,4,4,4,3,4
December,London,4,3,4,3,4,2,4,4,3,4,4,3,2,4,3,4,4,4,2,4,4,3
December,Tammerforce,4,4,4,4,3,3,4,4,4,4,4,3,3,4,3,4,3,4,4,4,4,4
December,Avalon,4,3,3,3,4,3,4,,3,2,4,3,3,3,2,3,4,4,1,4,4,2
December,Berlin,4,3,4,4,2,1,3,2,4,4,,3,3,3,4,4,2,4,3,4,2,3
December,Berlin,4,4,4,3,3,2,3,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4
December,South Side,4,3,4,4,4,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4,3,4
December,Avalon,3,3,3,3,1,1,3,1,3,1,3,1,2,2,2,3,3,4,2,3,3,3
December,South Side,2,3,3,2,3,3,2,1,3,2,3,3,1,3,4,3,2,1,2,2,3,1
December,Berlin,3,3,4,3,2,2,3,1,3,1,3,2,1,2,3,3,3,3,2,3,3,1
December,Tammerforce,4,3,4,4,4,3,4,3,2,2,4,1,2,3,3,4,3,3,3,3,3,2
December,London,4,4,4,4,4,3,4,3,3,4,4,2,2,4,3,4,3,3,3,4,4,4
December,Vesa,4,4,4,4,3,3,4,4,1,1,4,4,4,4,4,4,3,4,4,4,4,4
December,Tammerforce,4,4,3,4,3,2,3,3,3,3,4,3,2,3,3,3,2,4,3,4,4,4
December,Avalon,2,1,2,2,2,1,4,2,1,4,2,3,2,2,3,3,2,1,2,2,2,2
December,Avalon,4,3,3,4,2,2,4,3,3,4,4,3,2,3,3,4,3,2,4,4,4,3
December,Vesa,4,3,3,3,4,3,3,2,2,2,3,3,2,3,2,3,3,3,2,3,4,3
December,South Side,3,2,3,3,3,2,4,3,4,3,4,3,4,4,4,4,4,3,4,4,4,3
December,Avalon,4,3,3,4,1,1,3,2,3,3,4,2,2,4,4,4,1,4,3,4,4,3
December,Inna,4,3,3,3,3,2,4,2,3,4,4,3,2,4,3,4,3,2,4,4,4,4
December,South Side,3,4,3,3,4,3,1,2,3,1,3,1,3,2,4,2,2,2,2,3,2,1
December,Tammerforce,4,4,3,4,4,3,3,3,3,3,4,4,3,3,3,3,3,4,3,3,4,4
December,Tribe Four,4,4,4,4,3,2,4,3,4,4,4,3,3,4,2,4,3,3,4,4,4,4
December,Vesa,4,3,4,4,4,3,3,3,1,4,4,4,3,2,4,3,2,2,3,3,4,3
December,Tammerforce,4,3,3,3,3,2,1,2,1,1,3,3,2,1,1,1,2,3,1,2,2,1
December,Tammerforce,4,4,3,4,3,2,4,2,3,3,4,2,3,3,3,4,3,4,3,4,4,3
December,Avalon,4,3,,4,,,3,,3,3,3,3,3,,2,3,3,4,3,3,3,4
December,Tammerforce,4,4,3,4,3,2,3,2,4,2,4,4,2,2,2,3,2,4,2,3,4,3
December,Berlin,4,4,4,4,3,1,3,2,3,2,4,2,2,2,3,3,2,3,2,4,4,4
December,Vesa,3,3,3,3,4,3,4,4,3,3,4,3,3,3,3,4,3,4,4,4,4,4
December,Inna,4,4,4,4,3,2,3,3,2,3,4,3,3,4,3,3,2,3,3,3,4,4
December,Tribe Four,4,3,4,4,4,3,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4
December,South Side,4,4,4,3,2,2,4,3,4,3,4,3,2,3,3,4,3,3,4,4,4,4
December,Avalon,4,3,2,3,3,3,3,3,4,2,4,3,2,3,3,2,3,3,2,4,4,1
December,South Side,4,3,3,4,3,2,3,,3,3,3,3,3,2,3,4,2,2,3,4,3,4
December,Tribe Four,4,4,4,4,4,3,3,,3,3,4,4,3,4,4,4,3,2,4,4,4,4
